Xiang Signature - Liang Seah Place ,'latitude': 1.2981263725816348, 'longitude': 103.8562838312721
Paul - Marina Bay Link Mall ,'latitude': 1.28047384, 'longitude': 103.85363656
So Pho - Marina Bay Sands ,'latitude': 1.2856402156243405, 'longitude': 103.85976004556846
The Coffee Bean & Tea Leaf - Change Alley ,'latitude': 1.284258, 'longitude': 103.85193
COLLIN'S® Restaurant - Funan Mall ,'latitude': 1.29155409, 'longitude': 103.84940304
Ichiban Bento - Marina Bay Link Mall ,'latitude': 1.2800062, 'longitude': 103.8532937
Carl's Jr. - Funan Mall ,'latitude': 1.2912711396327126, 'longitude': 103.85021918649994
Old Chang Kee - Change Alley Mall ,'latitude': 1.2842568326087331, 'longitude': 103.85173480776871
Lao Huo Tang Restaurant - Marina Square ,'latitude': 1.291346476923077, 'longitude': 103.858229
Kebabs Faktory - Funan ,'latitude': 1.2914875285714287, 'longitude': 103.85041130434782
Meshiya - Everton Park ,'latitude': 1.2770169010243653, 'longitude': 103.83909739667871
Aussie Roll - Republic Plaza ,'latitude': 1.2831217285714287, 'longitude': 103.8509556
Publico - InterContinental Singapore Robertson Quay ,'latitude': 1.289948, 'longitude': 103.83865
Canton Paradise - MBS ,'latitude': 1.2859529157403529, 'longitude': 103.86012056566346
Bawangchaji (FU) - Funan Mall ,'latitude': 1.2914, 'longitude': 103.84976
The Alley - One Raffles Place ,'latitude': 1.28495094565484, 'longitude': 103.851051262433
Aloha Poke - Marina Bay Link Mall ,'latitude': 1.2805084500000001, 'longitude': 103.8542201
Fu-men Japanese Udon & Donburi Restaurant - Hong Leong Building ,'latitude': 1.2813267, 'longitude': 103.8507976
Awfully Chocolate - Raffles City Shopping Centre ,'latitude': 1.2936120488744223, 'longitude': 103.85340574110074
Greendot - Raffles Place ,'latitude': 1.2840831, 'longitude': 103.85100001666666
Domino's Pizza - Kiliney ,'latitude': 1.2986775, 'longitude': 103.839404
Cedele Bakery Cafe - Republic Plaza Tower 1 ,'latitude': 1.2834981, 'longitude': 103.850864675
Simply Wrapps - Raffles City Shopping Centre ,'latitude': 1.293636, 'longitude': 103.85383713333334
Pasta Pronto - Medical Alumni Building ,'latitude': 1.28245, 'longitude': 103.83601
Rolling Rice SG ,'latitude': 1.2921223, 'longitude': 103.8565832
Mandalay Style Restaurant - Peninsula Plaza ,'latitude': 1.29211992365441, 'longitude': 103.850493021121
Green Monster Salads - 118 Killiney Road ,'latitude': 1.2978809, 'longitude': 103.8385019
Don Don Donki - Suntec City ,'latitude': 1.293282, 'longitude': 103.857105
A-One Signature - Raffles City Shopping Centre ,'latitude': 1.2933282545919838, 'longitude': 103.85362054342505
Jew Kit - 105 Killiney Road ,'latitude': 1.2982776421776843, 'longitude': 103.83877355714286
Ootoya - Orchard Central ,'latitude': 1.3007652666666667, 'longitude': 103.83953251428571
Nuodle Lanzhou Beef Noodle 牛一嘴兰州牛肉拉面 - Republic Plaza ,'latitude': 1.28297452, 'longitude': 103.8511924
Hua Zai Roasted Duck - Killiney Road ,'latitude': 1.297902435998293, 'longitude': 103.83865240285054
Sing Swee Kee Chicken Rice Restaurant - Seah Street ,'latitude': 1.2959201, 'longitude': 103.8548471
MilkFish - Millenia Walk ,'latitude': 1.291566053, 'longitude': 103.859758
Upshot Coffee - One Raffles Place ,'latitude': 1.284898274, 'longitude': 103.8513931
Tha Siam Authentic Thai Kitchen - Orchard Plaza ,'latitude': 1.301284, 'longitude': 103.841309
Tanamera Coffee - Oxley @ Raffles ,'latitude': 1.2842655048781877, 'longitude': 103.85222344418908
Swensen's - Bugis Junction ,'latitude': 1.2989963546050998, 'longitude': 103.85572765226496
Osteria by d.o.c. - Asia Square Tower 2 ,'latitude': 1.2786800597076393, 'longitude': 103.85098704781183
Boost Juice Bars - Change Alley Mall ,'latitude': 1.284333, 'longitude': 103.851809
Yu Ba Fang - Raffles City Shopping Centre ,'latitude': 1.2939760242084537, 'longitude': 103.85262156967805
Urban Roti - Lau Pa Sat ,'latitude': 1.28015197, 'longitude': 103.8505243
Xing Hua 兴化 - Suntec City Mall ,'latitude': 1.2935071780671308, 'longitude': 103.85670194450466
Fat Bird - Liang Seah Place ,'latitude': 1.298264, 'longitude': 103.856232
Bibigo Kitchen - Concorde Shopping Centre ,'latitude': 1.288901, 'longitude': 103.834612
Shake Farm HQ - Robinson Suites ,'latitude': 1.2812756482953105, 'longitude': 103.84980870988065
Pita Hero™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Pink Fish - One Raffles Place ,'latitude': 1.284898, 'longitude': 103.851102
Tonkotsu Kazan Ramen - Funan Mall ,'latitude': 1.291488202222222, 'longitude': 103.84966545
Pasta E Formaggio - Royal Group Building ,'latitude': 1.284625, 'longitude': 103.84979
Cat & The Fiddle - Raffles Place MRT Station ,'latitude': 1.28317754037895, 'longitude': 103.851307840362
Thai Dynasty - Marina Bay Sands ,'latitude': 1.28175768477052, 'longitude': 103.85870600266
Kim Dae Mun - Concorde Hotel And Shopping Mall ,'latitude': 1.300381, 'longitude': 103.84238
Super Coconut - 313 @ Somerset ,'latitude': 1.3005907814694, 'longitude': 103.838367380385
Three Buns at Potato Head ,'latitude': 1.2804052886626724, 'longitude': 103.8417127117181
Monster Curry - Suntec City Mall ,'latitude': 1.29335865, 'longitude': 103.85717365
Hong Kong Sheng Kee Dessert - Raffles City Shopping Centre ,'latitude': 1.29332574766552, 'longitude': 103.85367782277172
Bali Thai - Suntec City Mall ,'latitude': 1.2944095, 'longitude': 103.85802657826088
Chong Qing Grilled Fish - Liang Seah Street ,'latitude': 1.2979006, 'longitude': 103.8565518
NamNam - Raffles City Shopping Centre ,'latitude': 1.293398, 'longitude': 103.8533865
Old Airport Road Wonton Noodle ,'latitude': 1.284142346, 'longitude': 103.8528419
Inluck 永乐 - Cross Street Exchange ,'latitude': 1.28340144, 'longitude': 103.8467451
Kei Kaisendon - Suntec City Mall ,'latitude': 1.29345525, 'longitude': 103.8572748
Artisan Boulangerie Co. - 118 Killiney Road ,'latitude': 1.2978833743913278, 'longitude': 103.83849811553954
Yan Ji Seafood Soup - Funan ,'latitude': 1.29131015, 'longitude': 103.85043239999999
London Curry House Authentic Northern Indian Curry and Kebab Cuisine - Hoe Chiang Road ,'latitude': 1.274269, 'longitude': 103.842526
Kith Cafe - Millenia Walk ,'latitude': 1.2931452, 'longitude': 103.8585424
Yan Ji Seafood Soup - Funan ,'latitude': 1.29131015, 'longitude': 103.85043239999999
Upshot Coffee - One Raffles Place ,'latitude': 1.284898274, 'longitude': 103.8513931
D'Spring Flowers - Crasco Building🏍 ,'latitude': 1.295313064, 'longitude': 103.8554058
Artisan Boulangerie Co. - 118 Killiney Road ,'latitude': 1.2978833743913278, 'longitude': 103.83849811553954
The Whole Kitchen Bakery Cafe CBD - Robinson Road ,'latitude': 1.27901405683428, 'longitude': 103.84884548347
Twenty Grammes - North Bridge Road ,'latitude': 1.3032313275014764, 'longitude': 103.8593006
RostiBoy™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Dutch Colony Coffee Co. - UE Square Mall ,'latitude': 1.2923522, 'longitude': 103.8424456
PS.Cafe - Raffles City Shopping Centre ,'latitude': 1.2941227786040628, 'longitude': 103.85372378791783
Omnivore - Oxley @ Raffles ,'latitude': 1.283801, 'longitude': 103.852729
Monster Curry - Suntec City Mall ,'latitude': 1.29335865, 'longitude': 103.85717365
Paul - Marina Bay Link Mall ,'latitude': 1.28047384, 'longitude': 103.85363656
So Good Char Chan Tang - 111 Somerset ,'latitude': 1.2999866938591964, 'longitude': 103.83748124537107
Sin Hoi Sai - Tiong Bahru Estate ,'latitude': 1.2847525, 'longitude': 103.8338937038719
Heavenly Wang - Millenia Walk ,'latitude': 1.29153, 'longitude': 103.859727
Fahrenheit Coffee - Fu Yuen Building ,'latitude': 1.29709, 'longitude': 103.85637
EPIKebabs - Wilkie Edge ,'latitude': 1.3021770664491947, 'longitude': 103.84973713761616
Curry Village-Authentic North Indian Cuisine - Boat Quay ,'latitude': 1.286321663976937, 'longitude': 103.84963428122043
Hua Zai Roasted Duck - Killiney Road ,'latitude': 1.297902435998293, 'longitude': 103.83865240285054
KetoBurg™ by Shake Farm - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Bali Thai - Suntec City Mall ,'latitude': 1.2944095, 'longitude': 103.85802657826088
Real Food - South Beach Avenue ,'latitude': 1.294146389, 'longitude': 103.8559115
Toss & Turn - Raffles City Shopping Centre ,'latitude': 1.29455954780485, 'longitude': 103.852910116568
Da Paolo Gastronomia - Raffles City Shopping Centre ,'latitude': 1.293685129694343, 'longitude': 103.85340724812492
Cat & The Fiddle - Raffles Place MRT Station ,'latitude': 1.28317754037895, 'longitude': 103.851307840362
Gloria Jean's Coffees - Marina Square ,'latitude': 1.29128913244429, 'longitude': 103.858715312898
Kei Kaisendon - Suntec City Mall ,'latitude': 1.29345525, 'longitude': 103.8572748
Kith Cafe - Millenia Walk ,'latitude': 1.2931452, 'longitude': 103.8585424
Butter Studio - Bugis Junction  ,'latitude': 1.2990189889191148, 'longitude': 103.8555882
The Super Foodie Paradise™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Lai Yi kou - Telok Ayer Festival Market ,'latitude': 1.280405, 'longitude': 103.850782
Meshiya - Everton Park ,'latitude': 1.2770169010243653, 'longitude': 103.83909739667871
Rive Gauche - Raffles City Shopping Centre ,'latitude': 1.2935183, 'longitude': 103.85344412
Annabella Patisserie Macarons - Cross Street Exchange [Islandwide Delivery] ,'latitude': 1.2835193390540525, 'longitude': 103.84652975848132
Mix & Match Malls (Food) - City Hall ,'latitude': 1.2915629509507909, 'longitude': 103.84983306920168
Acai King™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Wow! Biryani @a Modern Indian Restaurant at Heart of the City - Hoe Chiang Road ,'latitude': 1.27396, 'longitude': 103.84252
The Coffee Academics - Raffles City Shopping Centre ,'latitude': 1.2936166, 'longitude': 103.8538319
Marks & Spencer - One Raffles Place ,'latitude': 1.2839178, 'longitude': 103.8511279
Hang Heung - Raffles City Shopping Centre [Islandwide Delivery] ,'latitude': 1.2932947111996451, 'longitude': 103.8536679
Heavenly Wang - Millenia Walk ,'latitude': 1.29153, 'longitude': 103.859727
Lai Yi kou - Telok Ayer Festival Market ,'latitude': 1.280405, 'longitude': 103.850782
Chun Fun How - Esplanade Mall ,'latitude': 1.289516, 'longitude': 103.856017
Godmama Modern Peranakan Kitchen - Funan Mall ,'latitude': 1.2912, 'longitude': 103.850133
Saigon Rolls - Republic Plaza ,'latitude': 1.283129, 'longitude': 103.8510422
Gloria Jean's Coffees - Marina Square ,'latitude': 1.29128913244429, 'longitude': 103.858715312898
The Super Foodie Paradise™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
24Seven - Chinatown MRT Station [Islandwide Delivery] ,'latitude': 1.2841917052932388, 'longitude': 103.84333179159637
Lush - Suntec City ,'latitude': 1.2935001955059562, 'longitude': 103.85675854387358
Marcello - InterContinental Singapore Robertson Quay ,'latitude': 1.289968, 'longitude': 103.838665
Butter Studio - Bugis Junction  ,'latitude': 1.2990189889191148, 'longitude': 103.8555882
The Original Cuban Sandwich Bros™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
The Whole Kitchen Bakery Cafe CBD - Robinson Road ,'latitude': 1.27901405683428, 'longitude': 103.84884548347
Khushboo – The Fragrance of India - Boat Quay ,'latitude': 1.2863083892823266, 'longitude': 103.84963455627415
Da Paolo Gastronomia - Raffles City Shopping Centre ,'latitude': 1.293685129694343, 'longitude': 103.85340724812492
Curry Village-Authentic North Indian Cuisine - Boat Quay ,'latitude': 1.286321663976937, 'longitude': 103.84963428122043
Kohi Roastery - Kim Yam Road ,'latitude': 1.29244732662799, 'longitude': 103.838832268576
Green Signature - Raffles City Shopping Centre ,'latitude': 1.2933974333333333, 'longitude': 103.85374513913042
Fluff Stack - Suntec City Mall ,'latitude': 1.29288272, 'longitude': 103.8568363
Tokyo Milk Cheese Factory - Raffles City Shopping Centre ,'latitude': 1.2933859391304348, 'longitude': 103.8535249
Medic Drugstore - Tanjong Pagar Plaza ,'latitude': 1.2747783333333333, 'longitude': 103.84271252
Apiary - Neil Road ,'latitude': 1.27965, 'longitude': 103.84214
Singapore Coffee - Raffles Hotel ,'latitude': 1.29460962112935, 'longitude': 103.854728815971
Mughlai Mumbai Curry And Grill Authentic North Indian Restaurant - South Bridge Road 🏍 ,'latitude':  1.287651, 'longitude': 103.848166
Kohi Roastery - Kim Yam Road ,'latitude': 1.29244732662799, 'longitude': 103.838832268576
Green Signature - Raffles City Shopping Centre ,'latitude': 1.2933974333333333, 'longitude': 103.85374513913042
Fluff Stack - Suntec City Mall ,'latitude': 1.29288272, 'longitude': 103.8568363
Tokyo Milk Cheese Factory - Raffles City Shopping Centre ,'latitude': 1.2933859391304348, 'longitude': 103.8535249
Medic Drugstore - Tanjong Pagar Plaza ,'latitude': 1.2747783333333333, 'longitude': 103.84271252
Apiary - Neil Road ,'latitude': 1.27965, 'longitude': 103.84214
Singapore Coffee - Raffles Hotel ,'latitude': 1.29460962112935, 'longitude': 103.854728815971
Mughlai Mumbai Curry And Grill Authentic North Indian Restaurant - South Bridge Road 🏍 ,'latitude':  1.287651, 'longitude': 103.848166
The Book Cafe - Seng Kee Building ,'latitude': 1.2911245386243309, 'longitude': 103.83901434047306
Yakiniku-GO - Suntec City Mall ,'latitude': 1.29288272, 'longitude': 103.8568363
SF Fruits & Juices - Raffles Place Mrt Station ,'latitude': 1.284531480433941, 'longitude': 103.85150592011075
Ange Bakes Keto Bakery & Cafe - The Adelphi ,'latitude': 1.2912595572981616, 'longitude': 103.85148536439601
Treasures Yi Dian Xin - Raffles City ,'latitude': 1.2936747, 'longitude': 103.8533068
Kitchen By Food Rebel - Stanley Street ,'latitude': 1.280919, 'longitude': 103.848244
Hot Kitchen - The Quality Dining ,'latitude': 1.287587658020642, 'longitude': 103.84825924194568
The Providore - Groceries - OUE Downtown ,'latitude': 1.2780508000000002, 'longitude': 103.8492487862135
Food Folks - Lau Pa Sat [Islandwide Delivery] ,'latitude': 1.2803340306865, 'longitude': 103.850763715766
Wine Connection - Income @ Raffles ,'latitude': 1.283822, 'longitude': 103.852681
Pet Lovers Centre - Suntec City Mall ,'latitude': 1.29288272, 'longitude': 103.8568363
Anglo Indian Cafe & Bar - Chijmes (#01-13) ,'latitude': 1.294904, 'longitude': 103.852685
Gangster Wrapper™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
SF Farm Mart - The Fullerton Waterboat House ,'latitude': 1.2870431684137031, 'longitude': 103.8537286643413
